"","session","site","habitat","octocoral","stony","relief_cm","Order","family","binomial","species","size_bin","nocturnal","position","behavior","max_length","colouration","cryptic_behaviour","SVC_date","SVC_max_depth","SVC_area","SVC_abundance","SVC_density","prey_date","prey_depth","prey_area","prey_abundance","prey_density","pred_date","pred_depth","pred_area","pred_abundance","pred_density","SVC_prey_difference","SVC_pred_difference","prey_pred_difference"
"58",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Pomacentridae","Stegastes planifrons","threespot damselfish",2,0,"demersal","solitary",13,"none",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,3,0.025,"2014-09-16",16,3276,0,0,-0.0185038798727072,0.00649612012729277,0.025
"59",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Haemulidae","Haemulon plumierii","white grunt",5,0,"demersal","schooling",59,"none",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,6,0.05,"2014-09-16",16,3276,0,0,-0.0435038798727072,0.00649612012729277,0.05
"60",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Pomacentridae","Abudefduf saxatilis","sergeant major",3,0,"demersal","shoaling",23,"conspicuous",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,0,0,"2014-09-16",16,3276,0,0,0.00649612012729277,0.00649612012729277,0
"61",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Labridae","Sparisoma viride","stoplight parrotfish",2,0,"demersal","shoaling",50,"none",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,3,0.025,"2014-09-16",16,3276,0,0,-0.0185038798727072,0.00649612012729277,0.025
"62",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Tetraodontiformes","Tetraodontidae","Canthigaster rostrata","sharpnose puffer",1,0,"demersal","solitary",12,"conspicuous",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,1,0.00833333333333333,"2014-09-16",16,3276,0,0,-0.00183721320604056,0.00649612012729277,0.00833333333333333
"63",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Carangidae","Caranx ruber","bar jack",2,0,"demersal","schooling",50,"cryptic",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,0,0,"2014-09-16",16,3276,0,0,0.00649612012729277,0.00649612012729277,0
"64",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Labridae","Scarus iseri","striped parrotfish",2,0,"demersal","shoaling",35,"conspicuous",0,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,5,0.0416666666666667,"2014-09-16",16,3276,0,0,-0.0351705465393739,0.00649612012729277,0.0416666666666667
"65",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Labridae","Thalassoma bifasciatum","bluehead wrasse",3,0,"demersal","shoaling",25,"conspicuous",0,"2014-09-16",20,153.93804,1.75,0.0113682102227624,"2014-09-16",16,120,0,0,"2014-09-16",16,3276,0,0,0.0113682102227624,0.0113682102227624,0
"66",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Lutjanidae","Ocyurus chrysurus","yellowtail snapper",4,0,"demersal","schooling",86.3,"conspicuous",0,"2014-09-16",20,153.93804,3.75,0.0243604504773479,"2014-09-16",16,120,0,0,"2014-09-16",16,3276,0,0,0.0243604504773479,0.0243604504773479,0
"67",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Labridae","Sparisoma aurofrenatum","redband parrotfish",3,0,"demersal","shoaling",28,"cryptic",1,"2014-09-16",20,153.93804,1,0.00649612012729277,"2014-09-16",16,120,1,0.00833333333333333,"2014-09-16",16,3276,0,0,-0.00183721320604056,0.00649612012729277,0.00833333333333333
"68",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Pomacentridae","Stegastes leucostictus","beaugregory",2,0,"demersal","solitary",10,"none",0,"2014-09-16",20,153.93804,0,0,"2014-09-16",16,120,2,0.0166666666666667,"2014-09-16",16,3276,0,0,-0.0166666666666667,0,0.0166666666666667
"69",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Pomacentridae","Stegastes partitus","bicolor damselfish",1,0,"demersal","solitary",10,"conspicuous",0,"2014-09-16",20,153.93804,0,0,"2014-09-16",16,120,3,0.025,"2014-09-16",16,3276,0,0,-0.025,0,0.025
"70",142,"BISC-P13a","Patch",80,5,49.0769230769231,"Perciformes","Serranidae","Hypoplectrus nigricans","black hamlet",2,0,"demersal","solitary",15.2,"none",0,"2014-09-16",20,153.93804,0,0,"2014-09-16",16,120,1,0.00833333333333333,"2014-09-16",16,3276,0,0,-0.00833333333333333,0,0.00833333333333333
